Name,ParentFunc
BT_TASKS,BT_EXECUTE
BT_EXECUTE,FSM_UPDATE
EVENT_CHECK,ROOT
FSM_UPDATE,AI_HANDLER_UPDATE
EVENT_UPDATE,AI_HANDLER_UPDATE
AI_HANDLER_UPDATE,ROOT

Nr of AI,Name,TimeSpent[ms],TotalRunTime[ms],Iterations,frames
10,BT_TASKS,73.1673,6000,28230,775
20,BT_TASKS,145.539,6000,56260,773
30,BT_TASKS,222.555,6000,84480,772
40,BT_TASKS,295.677,6000,112360,771
50,BT_TASKS,373.698,6000,140250,769
60,BT_TASKS,452.179,6000,168180,767
70,BT_TASKS,530.94,6000,195580,766
80,BT_TASKS,597.597,6000,223600,765
90,BT_TASKS,682.254,6000,250200,762
100,BT_TASKS,769.278,6000,277800,762
110,BT_TASKS,839.698,6000,304920,760
120,BT_TASKS,916.777,6000,332160,758
130,BT_TASKS,994.703,6000,358800,756
140,BT_TASKS,1073.48,6000,385980,755
150,BT_TASKS,1197.39,6000,413400,756
160,BT_TASKS,1237.04,6000,438240,751
170,BT_TASKS,1319.55,6000,461380,742
180,BT_TASKS,1361.89,6000,484560,738
190,BT_TASKS,1423.71,6000,504640,724
200,BT_TASKS,1487.19,6000,520000,706
210,BT_TASKS,1525.32,6000,546630,707
220,BT_TASKS,1572.66,6000,564960,696
230,BT_TASKS,1617.24,6000,584430,687
240,BT_TASKS,1719.31,6000,600720,675
250,BT_TASKS,1723.27,6000,622250,671
260,BT_TASKS,1755.78,6000,638040,660
270,BT_TASKS,1828.83,6000,658709,656
280,BT_TASKS,1883.57,6000,678067,650
290,BT_TASKS,1997,6000,685560,634
300,BT_TASKS,1994.29,6000,708814,631
310,BT_TASKS,2025.06,6000,719737,620
320,BT_TASKS,2064.9,6000,730479,609
330,BT_TASKS,2185.41,6000,724020,590
340,BT_TASKS,2138.35,6000,748938,589
350,BT_TASKS,2172.74,6000,756622,580
360,BT_TASKS,2204.06,6000,766006,572
370,BT_TASKS,2292.63,6000,760350,555
380,BT_TASKS,2323.64,6000,756960,538
390,BT_TASKS,2309.48,6000,776808,538
400,BT_TASKS,2293.37,6000,757533,512
410,BT_TASKS,2304.57,6000,726871,483
420,BT_TASKS,2373.28,6000,753419,492
430,BT_TASKS,2408.14,6000,775657,490
440,BT_TASKS,2420.72,6000,762462,473
450,BT_TASKS,2429.48,6000,773041,470
460,BT_TASKS,2481.25,6000,792061,472
470,BT_TASKS,2516.15,6000,783490,459
480,BT_TASKS,2551.47,6000,785760,451
490,BT_TASKS,2562.24,6000,805507,452
500,BT_TASKS,2600.28,6000,809948,446
510,BT_TASKS,2625.14,6000,809322,439
520,BT_TASKS,2630.84,6000,824666,438
530,BT_TASKS,2660.98,6000,820922,429
540,BT_TASKS,2677.4,6000,802980,415
550,BT_TASKS,2689.7,6000,820526,414
560,BT_TASKS,2706.83,6000,822008,408
570,BT_TASKS,2731.83,6000,811038,397
580,BT_TASKS,2745.35,6000,822948,397
590,BT_TASKS,2764.51,6000,818259,389
600,BT_TASKS,2778.68,6000,817739,383
610,BT_TASKS,2785.32,6000,814292,377
620,BT_TASKS,2814.82,6000,817102,372
630,BT_TASKS,2838.53,6000,820833,369
640,BT_TASKS,2838.23,6000,816581,362
650,BT_TASKS,2866.21,6000,812447,356
660,BT_TASKS,2885.22,6000,813066,352
670,BT_TASKS,2892.5,6000,812657,347
680,BT_TASKS,2911.25,6000,817988,345
690,BT_TASKS,2936.2,6000,816215,339
700,BT_TASKS,2926.58,6000,812700,333
710,BT_TASKS,2962.75,6000,819998,333
720,BT_TASKS,2981.88,6000,814258,327
730,BT_TASKS,2986.68,6000,813898,323
740,BT_TASKS,2981.54,6000,809486,316
750,BT_TASKS,3004.89,6000,815185,315
760,BT_TASKS,3024.15,6000,811626,310
770,BT_TASKS,3024.52,6000,811512,306
780,BT_TASKS,3046.62,6000,811129,304
790,BT_TASKS,3030.44,6000,814424,299
800,BT_TASKS,3070.11,6000,811140,298
810,BT_TASKS,3053.13,6000,794553,287
820,BT_TASKS,3078.66,6000,810101,290
830,BT_TASKS,3081.19,6000,810859,287
840,BT_TASKS,3088.59,6000,802123,281
850,BT_TASKS,3102.09,6000,797227,276
860,BT_TASKS,3128.82,6000,814408,277
870,BT_TASKS,3143.72,6000,802068,272
880,BT_TASKS,3140.14,6000,801613,269
890,BT_TASKS,3154.71,6000,809003,269
900,BT_TASKS,3180.85,6000,800932,264
910,BT_TASKS,3125.24,6000,787145,255
920,BT_TASKS,3180.25,6000,783779,252
930,BT_TASKS,3157.42,6000,774633,249
940,BT_TASKS,3171.53,6000,785785,250
950,BT_TASKS,3195.25,6000,779890,245
960,BT_TASKS,3228.1,6000,786133,245
970,BT_TASKS,3218.37,6000,776864,241
980,BT_TASKS,3201.41,6000,765284,235
990,BT_TASKS,3248.41,6000,783984,238
1000,BT_TASKS,3245.28,6000,776902,233
1010,BT_TASKS,3253.05,6000,774578,231
1020,BT_TASKS,3205.16,6000,774170,229
1030,BT_TASKS,3238.81,6000,763125,223
1040,BT_TASKS,3256.89,6000,763237,222
1050,BT_TASKS,3222.73,6000,754843,219
1060,BT_TASKS,3250.65,6000,749320,215
1070,BT_TASKS,3288.56,6000,764954,217
1080,BT_TASKS,3221.2,6000,749491,210
1090,BT_TASKS,3241.34,6000,758616,212
1100,BT_TASKS,3300.51,6000,756690,210
1110,BT_TASKS,3313.99,6000,760322,207
1120,BT_TASKS,3309.78,6000,748060,206
1130,BT_TASKS,3307.83,6000,761591,206
1140,BT_TASKS,3340.18,6000,755730,203
1150,BT_TASKS,3340.96,6000,745120,200
1160,BT_TASKS,3354.44,6000,746942,196
1170,BT_TASKS,3381.22,6000,741695,194
1180,BT_TASKS,3364.61,6000,744475,193
1190,BT_TASKS,3364.4,6000,738910,191
1200,BT_TASKS,3353.4,6000,752373,193
1210,BT_TASKS,3367.74,6000,750170,190
1220,BT_TASKS,3378.72,6000,742918,189
1230,BT_TASKS,3387.87,6000,742861,186
1240,BT_TASKS,3376.09,6000,740227,185
1250,BT_TASKS,3374.74,6000,744978,184
1260,BT_TASKS,3397.09,6000,744569,183
1270,BT_TASKS,3404.6,6000,731430,178
1280,BT_TASKS,3385.37,6000,741087,179
1290,BT_TASKS,3406.69,6000,739102,177
1300,BT_TASKS,3312.26,6000,703228,163
1310,BT_TASKS,3375.03,6000,709963,166
1320,BT_TASKS,3379.46,6000,708790,165
1330,BT_TASKS,3406.78,6000,718155,168
1340,BT_TASKS,3417.99,6000,726193,168
1350,BT_TASKS,3381.66,6000,716790,165
1360,BT_TASKS,3459.49,6000,735689,169
1370,BT_TASKS,3423.64,6000,701357,158
1380,BT_TASKS,3449.36,6000,724403,163
1390,BT_TASKS,3464.89,6000,736679,164
1400,BT_TASKS,3461.44,6000,729305,163
1410,BT_TASKS,3447.43,6000,728950,161
1420,BT_TASKS,3462.03,6000,726956,160
1430,BT_TASKS,3479.35,6000,733570,161
1440,BT_TASKS,3457.3,6000,725750,158
1450,BT_TASKS,3474.56,6000,733615,158
1460,BT_TASKS,3492.61,6000,721158,154
1470,BT_TASKS,3492.18,6000,718773,153
1480,BT_TASKS,3492.39,6000,726678,155
